chemical_name,chemical_type,who_hazard_class,toxicity_score,toxicity_intensity,human_health_effects,environmental_effects,regulatory_status,recommended_alternative
Aldrin Variant 125,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 125,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 125,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 125,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 125,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 126,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 126,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 126,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 126,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 126,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 127,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 127,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 127,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 127,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 127,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 128,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 128,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 128,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 128,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 128,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 129,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 129,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 129,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 129,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 129,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 130,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 130,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 130,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 130,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 130,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 131,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 131,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 131,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 131,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 131,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 132,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 132,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 132,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 132,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 132,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 133,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 133,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 133,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 133,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 133,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 134,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 134,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 134,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 134,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 134,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 135,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 135,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 135,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 135,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 135,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 136,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 136,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 136,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 136,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 136,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 137,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 137,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 137,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 137,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 137,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 138,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 138,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 138,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 138,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 138,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 139,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 139,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 139,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 139,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 139,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 140,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 140,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 140,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 140,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 140,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 141,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 141,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 141,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 141,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 141,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 142,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 142,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 142,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 142,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 142,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 143,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 143,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 143,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 143,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 143,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 144,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 144,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 144,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 144,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 144,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 145,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 145,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 145,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 145,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 145,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 146,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 146,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 146,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 146,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 146,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 147,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 147,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 147,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 147,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 147,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 148,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 148,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 148,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 148,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 148,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 149,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 149,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 149,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 149,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 149,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 150,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 150,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 150,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 150,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 150,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 151,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 151,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 151,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 151,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 151,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 152,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 152,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 152,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 152,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 152,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 153,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 153,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 153,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 153,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 153,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 154,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 154,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 154,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 154,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 154,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 155,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 155,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 155,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 155,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 155,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 156,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 156,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 156,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 156,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 156,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 157,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 157,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 157,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 157,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 157,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 158,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 158,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 158,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 158,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 158,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 159,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 159,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 159,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 159,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 159,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 160,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 160,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 160,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 160,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 160,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 161,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 161,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 161,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 161,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 161,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 162,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 162,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 162,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 162,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 162,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 163,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 163,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 163,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 163,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 163,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 164,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 164,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 164,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 164,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 164,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 165,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 165,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 165,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 165,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 165,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 166,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 166,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
